dataset,n_clusters,avg_radius1,std_radius1,avg_radius2,std_radius2,avg_silhouette1,std_silhouette1,avg_silhouette2,std_silhouette2,avg_silhouette_sklearn,std_silhouette_sklearn,avg_adjusted_rand1,std_adjusted_rand1,avg_adjusted_rand2,std_adjusted_rand2,avg_adjusted_rand_sklearn,std_adjusted_rand_sklearn,avg_time1,std_time1,avg_time2,std_time2,avg_time_sklearn,std_time_sklearn
1,3,1.0114280953125412,2.220446049250313e-16,2.655825015888006,0.20090129116269786,0.343969928077139,0.019839620071184692,0.2991471302706206,0.05034338338827525,0.38531383519978074,0.0042427562199479065,0.009121276935699547,0.009203322666538373,0.02801736116859477,0.043412038020188594,-0.001748736000216811,0.00013879543350162464,0.004919020334879557,0.0022965082007794678,0.00012240409851074218,6.399765189239932e-05,0.07730109691619873,0.012542416432709008
2,3,0.9302013204330211,0.12001705661327884,2.3896292757249458,0.20977904427524066,0.40416499170848164,0.02879088391644563,0.351355633909935,0.07563265269734519,0.4435680261159149,0.011013628126417138,0.37241694158800176,0.03555615262590987,0.34263025464275476,0.11271452313498793,0.3932422944526242,0.009881228583847953,0.005393226941426595,0.0025623561554456134,0.00012834866841634115,7.623062221239407e-05,0.07910327116648357,0.011339284593764546
3,3,1.0012034892402977,0.20352355102284408,2.58941972013055,0.19171264529599746,0.372180515641197,0.04734943080329718,0.3202662686737591,0.10595174249101316,0.43267368059677414,0.02192420281974189,0.33043993250326603,0.07208024597053049,0.31705096901553864,0.14549277950985498,0.3838310131659493,0.024517779887402856,0.005114555358886719,0.0011706271595363152,0.00018395582834879559,0.00035436133806094786,0.08204511006673178,0.007682887834136679
4,3,0.9543492117511356,2.220446049250313e-16,2.424502070142778,0.2352176495147779,0.8432539763108228,0.0018826217104911374,0.5526635519114456,0.2653075885476712,0.8437237784269238,1.1102230246251565e-16,0.9991459482236327,0.0033783566153106283,0.7364594476432966,0.23096936252708344,1.0,0.0,0.004610164960225423,0.0007444321423882045,0.0001142104466756185,7.841367983648346e-05,0.07704166571299235,0.012832512966050693
5,3,1.0117121918336343,0.0,2.6143727463494937,0.2554765527104468,0.6129793778978974,0.033753429972751006,0.4385143397709159,0.20603929811632474,0.6493205564542536,0.015379885615504905,0.6666387881559017,0.03400687074991744,0.547591743998937,0.16107302168177728,0.705663581420305,0.011817104933011958,0.0050598065058390295,0.0018379659763235788,0.00011194547017415365,3.014719315907803e-05,0.07232511838277181,0.012264592191810522
6,3,1.089966436859296,0.1720999637146257,2.9346301853248358,0.3087630105243608,0.35346204736293013,0.030310766751110867,0.26222140234222036,0.06134679244263451,0.3855293381569073,0.01357039421927227,-0.00041171030169773616,0.0017924573772518672,0.00022573844023839477,0.0018428565780937375,-0.0010854373870594933,0.0006996611632220596,0.004630645116170247,0.0007985043549420968,0.00013355414072672525,0.00013527457937412775,0.07583771546681722,0.013444037311625731
7,3,0.7493883415939625,1.1102230246251565e-16,2.506089993942591,0.25464282574213715,0.4628870146895636,0.03279189460379906,0.3843816201861262,0.12867939865147038,0.5041932128002675,0.0005163902431224729,0.4893136978957394,0.10024668098774295,0.36660835740744285,0.14132594879033855,0.5919711894229575,0.003500782232179716,0.007319498062133789,0.0021002173611985044,0.00012955665588378906,4.57724182094509e-05,0.07698643207550049,0.012118591233854252
8,3,0.8337881195908768,0.1448414980073433,2.7865619393861367,0.250230370892686,0.5159681861749551,0.0629634915335738,0.379276045042667,0.13314784563315601,0.5432812135932331,0.02174043797800771,0.47845358583597514,0.07926748806465261,0.2716326812346163,0.15742290882686394,0.4795007976091714,0.028332850824193487,0.006842851638793945,0.0008973931086918626,0.00013794104258219402,0.00011382291547705232,0.07412559191385905,0.014050600569838338
9,3,0.8141812992716695,0.28424567168507237,2.564699606894811,0.22850276460423408,0.578068679641518,0.045756645589750664,0.4217753183260766,0.16286322522429836,0.6257601174479069,0.0003952550917177401,0.6112981940680515,0.08709128485275244,0.45270515629141334,0.13730200498695677,0.7682141215745786,0.0024737534363806334,0.006390810012817383,0.001412975625806863,0.0001247564951578776,6.55472162665423e-05,0.07511836687723795,0.012356215570541866
10,3,0.6528331623652786,0.17804540791780324,2.312559077614576,0.23120035612732284,0.61572790165045,0.04354350262216713,0.4923729668252791,0.24587849826122093,0.6318494909487207,0.006231484682956803,0.5619451901125815,0.03619041035549273,0.4570210628046702,0.18712238024201439,0.5956549247418309,0.029628975867220447,0.006644558906555176,0.0009369471919900127,0.00015173753102620441,0.0001561601007738827,0.07802461783091227,0.011006690055668124
11,3,0.9946412343588799,0.18113196653642658,2.5674787241218437,0.2591945465140174,0.6251205329828075,0.09461389165476058,0.45902884219331785,0.16991679023456324,0.6833696887149102,3.3306690738754696e-16,0.6771258337660767,0.05562191462174054,0.5332225521161343,0.143111924137518,0.7134071340713404,3.3306690738754696e-16,0.005020570755004883,0.0010495783423281528,0.00011749267578125,4.363756523747956e-05,0.07533515294392903,0.013041235039646009
12,3,1.2171603364561923,0.37267771993399545,3.1902312778109216,0.2630148688742165,0.28048965141133253,0.06056487070298668,0.25738559877681383,0.04694297106269404,0.33142062036385705,0.007930824098348686,0.2380370828985872,0.13457683473253956,0.18034498836482213,0.1295805288801633,0.36038144637508984,0.013661870082804875,0.006269184748331705,0.0025484135323276132,0.00013511180877685548,0.00012606793762149848,0.07564767201741536,0.012519373923444252
13,3,0.6778558344266359,0.23894812857903938,2.173413597140545,0.18059560717696962,0.7572733660909953,0.035095730542781735,0.5635366912580508,0.19295700557652976,0.7738396454765921,0.011535389200588117,0.7107496991517253,0.0063704223502608305,0.5765993402071982,0.1446661956432274,0.7134071340713404,3.3306690738754696e-16,0.006519722938537598,0.0015592292530691486,0.00016780694325764975,0.000204962746203752,0.07629171212514242,0.01270186620717168
14,3,1.0301302898449363,0.35326724485035704,3.0805075724606583,0.29466266100645877,0.4035647711855057,0.09615622436990674,0.25749220167422987,0.10416645328844958,0.4848225191332974,0.004249202754894338,0.5470253537885766,0.24701742275045654,0.24965026522095285,0.31941616801541145,0.7148031593286586,0.02060304399344817,0.006745052337646484,0.0027164748077790277,0.0001148064931233724,1.9781821290566397e-05,0.07783180872599284,0.011417435096898234
15,3,0.7136684124920095,0.22797301196092762,2.2201312997087,0.33294438285637473,0.619402341627031,0.017316348358806508,0.5117341738543801,0.12947467384052014,0.6409355695529745,0.00021925339539188293,0.5154924431672899,0.04742780851637306,0.3816205090416502,0.13941723334909853,0.5983683025334989,0.001060408580672556,0.006777437527974447,0.001646522469726786,0.00013723373413085938,5.212318005519769e-05,0.07719752788543702,0.013008397355531331
16,3,0.5540270833828943,1.1102230246251565e-16,1.9414575693559855,0.17541941787870965,0.5399392609659657,0.010540820298979068,0.5100789929278956,0.040319658883860604,0.5433056955459107,0.0061993092797618405,0.8474377572113728,0.06645696380750757,0.7613943615678114,0.07690714113623848,0.7503593030153527,0.001215309053374052,0.00842581590016683,0.002351576656037943,0.00013648668924967449,4.113121212834552e-05,0.08078385988871256,0.007440110989388256
17,3,0.9791201717968191,2.220446049250313e-16,2.6855858604543514,0.2157629264622931,0.7722056571358853,0.05699087867368136,0.5022953623451617,0.2308273102956905,0.7943964519891906,2.220446049250313e-16,0.7017071641318917,0.020087963588300405,0.5316345078400747,0.14699456958976168,0.7134071340713404,3.3306690738754696e-16,0.00535282293955485,0.0017362851659305928,0.000165406862894694,0.00018564300730768797,0.06932942072550456,0.01225947347304733
18,3,0.7895659414036978,0.256894368434632,2.258872281994212,0.10474887908245643,0.6801115857813431,0.04507089206095377,0.39252565722335697,0.2303251956429174,0.6954249572067818,0.03891016823243781,0.679749225414078,0.026365526563023448,0.486925692994517,0.18868936869052713,0.707140591746839,0.005441433947591156,0.006174556414286296,0.001590665905024897,0.00015096664428710939,0.00010645038286389101,0.07514637311299642,0.013355227770806928
19,3,0.5827231773953279,0.0,2.1603337696268,0.12771720141683657,0.6080561310813042,0.014803619281967433,0.5313461420434974,0.11322462034136498,0.6214953559519173,0.009845967427806253,0.8293436933336769,0.07029545548880507,0.6885538277596908,0.13725735900376548,0.7521587998690595,0.0016943143751169212,0.007390292485555013,0.0013830059086569234,0.00014090538024902344,7.510937042552266e-05,0.08170615037282308,0.006271323230011942
20,3,1.2001497710104312,0.18949733226480497,3.050226866946874,0.28212046350280706,0.673144337316218,0.052061694466599605,0.47213806651951373,0.2119913647099316,0.7082487132299232,1.1102230246251565e-16,0.46004619014230125,0.0356650572761824,0.33430753077794617,0.1148275734254866,0.47978909265766656,5.551115123125783e-17,0.0056800444920857745,0.0027278599257667315,0.00013606548309326173,0.00011510951961018922,0.07558045387268067,0.01407854546973656
21,10,3.160470059124572,1.3322676295501878e-15,9.244110917605543,0.32090352127978194,0.11607631132255,0.020962467694582973,0.1963034901316587,0.06042434267767492,0.14516051612624475,0.01469361451398072,0.13106354542306878,0.041772216014375356,0.04761788005878545,0.02306399182589245,0.17871044512440143,0.010454006544489162,0.04337786038716634,0.004499663909763655,0.00028922557830810545,4.6688151478981896e-05,0.039447323481241865,0.009057584287305798
22,10,9.289853517622666,0.0,27.542038768221616,1.5686114026036142,0.3604098943919615,0.09729063834529339,0.5615382306850445,0.06169924295087833,0.13117433519842664,0.0076841146618309404,0.002668634791271153,0.007164858988729455,1.4024034670426706e-05,6.447294479092071e-05,0.5457682955702369,0.04550402587930667,0.051784054438273115,0.002698931528094133,0.00032520294189453125,5.5406378073201196e-05,0.01863994598388672,0.004320781028619164
23,10,1.772428850174173,0.6187875224872399,5.714947118515692,0.12640195972824486,0.17242332193935048,0.03583152073918489,0.12677801140312484,0.024156134826998354,0.2721502160496344,0.013473353037408068,0.3656458930661702,0.07609910434771196,0.2555750165054332,0.03071989842994458,0.5583777219261773,0.04435539339382638,0.04874888261159261,0.009765310272020437,0.00036232471466064454,8.472682379509689e-05,0.01652081807454427,0.007121247015496575
24,2,18.690368596642763,3.552713678800501e-15,56.31028895871318,1.6494669345446957,0.7607474850971889,0.04294497328201166,0.8356482552462174,3.3306690738754696e-16,0.49909291729971883,0.09935574118301048,0.004299267971538798,0.0025646573114039167,-0.000497293472867154,2.168404344971009e-19,0.08009694393596585,0.03996920697100031,0.03642197450002035,0.00460533410256989,0.00011768341064453126,4.4502584651960486e-05,0.021046908696492513,0.01500440677231886
25,2,4.731206347548435,8.881784197001252e-16,15.720003449763537,1.3867311443572365,0.45287167406526546,0.13037248053936581,0.6620136563148649,0.0341223820758385,0.30435541589549636,0.0006797192769673509,0.0,0.0,0.0,0.0,0.0,0.0,0.03541813691457112,0.0026646419631884645,9.384950002034505e-05,9.75857143531559e-06,0.009781599044799805,0.005219447312528634
26,2,3.6690312989717464,4.440892098500626e-16,10.59831329477701,1.401097956170788,0.48695446392054076,0.09818077467194633,0.5298991191544394,0.09431809041841191,0.44165539488945066,0.0012753567161141188,0.10865677556600573,0.15967920760338505,0.007190948295950298,0.023093929208540264,0.28321384333279087,0.006758950190798771,0.00845944086710612,0.0022060768149715386,0.00010446707407633464,2.0117695407885746e-05,0.07567514578501383,0.010274140405681606
27,5,,,,,,,,,,,,,,,,,,,,,,
28,2,1.8715910068458517,4.440892098500626e-16,5.743395913387395,0.6166529439434092,0.32293374297595673,0.02791446617712241,0.35321570523953777,0.054893292344406645,0.32923517156656745,0.00022074756372970347,0.06039324884573706,0.04966896135978569,0.036458092581872874,0.02886488701664998,0.013193817625812513,0.00040189416996673564,0.017515714963277182,0.0015202115850599413,0.00012697378794352215,0.00010543153673825341,0.0648273785909017,0.011688542377307695
29,7,4.002131185423537,0.0,10.777291467412901,0.2808964756482545,0.31483786597647817,0.0591303235139819,0.40131462153331243,0.09723545087819789,0.3055977342810749,0.032015641046757526,0.0861964851610979,0.06779755738991781,0.0006028702880720274,0.000872594093028765,0.48833659466626206,0.03269386322915269,0.04870294729868571,0.003960768989218465,0.00021379788716634115,3.3996679921601874e-05,0.023927656809488933,0.007249294280700128
30,3,3.3148596955693432,4.440892098500626e-16,8.842543245504366,0.615109523056898,0.164554984649093,0.027894766649527402,0.1218619487378501,0.04587927652889585,0.21397337348694753,2.0724575934566636e-05,0.24005405526204462,0.052376030036643074,0.1939663324329614,0.07251997384472951,0.2556119354751097,0.00030926341498941013,0.03679076830546061,0.0022458823059775877,0.00011739730834960937,1.7466999198710136e-05,0.01671731472015381,0.006272727555872852
